加载 338225 G_M 顶点
workers=10, chunksize=50

并行扫描 k_real ...
  [489s] 246601/338225 (505/s, ETA 182s), k>=9 found=23
  [494s] 248251/338225 (503/s, ETA 179s), k>=9 found=24
  [499s] 249701/338225 (501/s, ETA 177s), k>=9 found=24
  [504s] 251401/338225 (499/s, ETA 174s), k>=9 found=25
  [509s] 252801/338225 (497/s, ETA 172s), k>=9 found=25
  [514s] 254351/338225 (495/s, ETA 169s), k>=9 found=25
  [519s] 255951/338225 (493/s, ETA 167s), k>=9 found=27
  [524s] 257551/338225 (491/s, ETA 164s), k>=9 found=27
  [529s] 259251/338225 (490/s, ETA 161s), k>=9 found=28
  [534s] 260801/338225 (488/s, ETA 159s), k>=9 found=29
  [539s] 262451/338225 (486/s, ETA 156s), k>=9 found=29
  [545s] 263951/338225 (485/s, ETA 153s), k>=9 found=30
  [550s] 265551/338225 (483/s, ETA 150s), k>=9 found=30
  [555s] 267151/338225 (482/s, ETA 148s), k>=9 found=30
  [560s] 268651/338225 (480/s, ETA 145s), k>=9 found=32
  [565s] 270251/338225 (478/s, ETA 142s), k>=9 found=33
  [570s] 271851/338225 (477/s, ETA 139s), k>=9 found=33
  [575s] 273401/338225 (475/s, ETA 136s), k>=9 found=34
  [580s] 274851/338225 (474/s, ETA 134s), k>=9 found=35
  [585s] 276301/338225 (472/s, ETA 131s), k>=9 found=36
  [591s] 277651/338225 (470/s, ETA 129s), k>=9 found=37
  [596s] 279051/338225 (468/s, ETA 126s), k>=9 found=37
  [601s] 280501/338225 (467/s, ETA 124s), k>=9 found=37
  [606s] 281901/338225 (465/s, ETA 121s), k>=9 found=37
  [611s] 283401/338225 (464/s, ETA 118s), k>=9 found=37
  [616s] 284901/338225 (462/s, ETA 115s), k>=9 found=38
  [621s] 286351/338225 (461/s, ETA 113s), k>=9 found=38
  [626s] 287601/338225 (459/s, ETA 110s), k>=9 found=39
  [631s] 289151/338225 (458/s, ETA 107s), k>=9 found=39
  [637s] 290651/338225 (456/s, ETA 104s), k>=9 found=39
  [642s] 292251/338225 (455/s, ETA 101s), k>=9 found=39
  [647s] 293801/338225 (454/s, ETA 98s), k>=9 found=39
  [652s] 295301/338225 (453/s, ETA 95s), k>=9 found=40
  [658s] 296851/338225 (451/s, ETA 92s), k>=9 found=40
  [663s] 298351/338225 (450/s, ETA 89s), k>=9 found=42
  [668s] 299951/338225 (449/s, ETA 85s), k>=9 found=42
  [674s] 301451/338225 (447/s, ETA 82s), k>=9 found=42
  [679s] 303001/338225 (446/s, ETA 79s), k>=9 found=44
  [684s] 304351/338225 (445/s, ETA 76s), k>=9 found=46
  [689s] 305751/338225 (444/s, ETA 73s), k>=9 found=48
  [694s] 307201/338225 (442/s, ETA 70s), k>=9 found=48
  [699s] 308801/338225 (442/s, ETA 67s), k>=9 found=48
  [704s] 310701/338225 (441/s, ETA 62s), k>=9 found=48
  [709s] 313701/338225 (442/s, ETA 55s), k>=9 found=48
  [714s] 317901/338225 (445/s, ETA 46s), k>=9 found=48
  [719s] 324001/338225 (450/s, ETA 32s), k>=9 found=48
  [724s] 332551/338225 (459/s, ETA 12s), k>=9 found=48

[727.6s] 扫描完成: 48 个 k>=9 顶点
  k=10: 6
  k=9 : 42

准备跑 ellrank: 16 pairs (K_10 全, K_9 sample=10)

class pair                    k   rank          deficit sha2  #gens time      
--------------------------------------------------------------------------------------------------------------
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_10  (554400,  926640)  10  3             7       0     3        0.1s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_10  (369600,  617760)  10  3             7       0     3        0.0s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_10  (301665,  960960)  10  3             7       0     3        0.0s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_10  (224400,  816816)  10  3             7       0     3        0.0s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_10  (184800,  308880)  10  3             7       0     3        0.0s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_10  ( 76440,  831600)  10  4             6       0     4        0.0s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_9   ( 39600,  144144)  9   3             6       0     3        0.0s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_9   ( 50960,  554400)  9   4             5       0     4        0.0s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_9   ( 61200,  222768)  9   3             6       0     3        0.0s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_9   ( 65520,  712800)  9   4             5       0     4        0.0s ⚠ high deficit
PARI stack size set to 67108864 bytes, maximum size set to 67108864
K_9   ( 69615,  221760)  9   3             6       0     3        0.0s ⚠ high deficit
