[0.1s] 加载 338225 顶点
  workers=10, chunksize=50
  [489.7s] 249501/338225 (509/s, ETA 174s), closure hits=0
  [494.8s] 251051/338225 (507/s, ETA 172s), closure hits=0
  [500.1s] 252801/338225 (505/s, ETA 169s), closure hits=0
  [505.2s] 254451/338225 (504/s, ETA 166s), closure hits=0
  [510.5s] 256201/338225 (502/s, ETA 163s), closure hits=0
  [515.5s] 257801/338225 (500/s, ETA 161s), closure hits=0
  [520.7s] 259451/338225 (498/s, ETA 158s), closure hits=0
  [525.8s] 261001/338225 (496/s, ETA 156s), closure hits=0
  [531.1s] 262651/338225 (494/s, ETA 153s), closure hits=0
  [536.2s] 264301/338225 (493/s, ETA 150s), closure hits=0
  [541.3s] 265951/338225 (491/s, ETA 147s), closure hits=0
  [546.4s] 267551/338225 (490/s, ETA 144s), closure hits=0
  [551.5s] 269101/338225 (488/s, ETA 142s), closure hits=0
  [556.7s] 270701/338225 (486/s, ETA 139s), closure hits=0
  [561.8s] 272351/338225 (485/s, ETA 136s), closure hits=0
  [567.0s] 273951/338225 (483/s, ETA 133s), closure hits=0
  [572.0s] 275351/338225 (481/s, ETA 131s), closure hits=0
  [577.1s] 276951/338225 (480/s, ETA 128s), closure hits=0
  [582.2s] 278451/338225 (478/s, ETA 125s), closure hits=0
  [587.2s] 279951/338225 (477/s, ETA 122s), closure hits=0
  [592.3s] 281401/338225 (475/s, ETA 120s), closure hits=0
  [597.5s] 282951/338225 (474/s, ETA 117s), closure hits=0
  [602.7s] 284451/338225 (472/s, ETA 114s), closure hits=0
  [607.8s] 285901/338225 (470/s, ETA 111s), closure hits=0
  [612.8s] 287401/338225 (469/s, ETA 108s), closure hits=0
  [617.9s] 288851/338225 (468/s, ETA 106s), closure hits=0
  [623.0s] 290401/338225 (466/s, ETA 103s), closure hits=0
  [628.2s] 291951/338225 (465/s, ETA 100s), closure hits=0
  [633.3s] 293351/338225 (463/s, ETA 97s), closure hits=0
  [638.5s] 294801/338225 (462/s, ETA 94s), closure hits=0
  [643.5s] 296301/338225 (460/s, ETA 91s), closure hits=0
  [648.6s] 297701/338225 (459/s, ETA 88s), closure hits=0
  [653.6s] 299101/338225 (458/s, ETA 85s), closure hits=0
  [658.6s] 300501/338225 (456/s, ETA 83s), closure hits=0
  [663.6s] 301901/338225 (455/s, ETA 80s), closure hits=0
  [668.7s] 303401/338225 (454/s, ETA 77s), closure hits=0
  [673.8s] 304901/338225 (452/s, ETA 74s), closure hits=0
  [679.0s] 306351/338225 (451/s, ETA 71s), closure hits=0
  [684.0s] 307851/338225 (450/s, ETA 67s), closure hits=0
  [689.1s] 309701/338225 (449/s, ETA 63s), closure hits=0
  [694.2s] 312001/338225 (449/s, ETA 58s), closure hits=0
  [699.3s] 316001/338225 (452/s, ETA 49s), closure hits=0
  [704.4s] 321351/338225 (456/s, ETA 37s), closure hits=0
  [709.5s] 331051/338225 (467/s, ETA 15s), closure hits=0
[713.0s] closure 检查完成

Total vertices scanned: 338225
Total closure hits:     0

k 分布:
  k = 2     203328
  k = 3      87779
  k = 4      33445
  k = 5      10164
  k = 6       2561
  k = 7        704
  k = 8        196
  k = 9         42
  k = 10         6

NO closure hits — counterexample remains absent in G_M @ max_value=1M.

[713.0s] 总耗时
closure hits: results/full_gm_closure_scan.jsonl
summary:      results/full_gm_closure_scan_summary.json
